'Data','Appa','Arach','Biped','Bugbeast','Burrick','Droid','Flexbow','Playarm','Rope','Spidey','Sweel','Simple','Crayman','Constantine','Overlord'
'#creaTypeNames',,,,,,,,,,,,,,,
'long name','Apparition','Large Spider','Human / Biped','Bugbeast','Burrick / Frogbeast','Droid / Robot','Player bow arm','Player sword / blackjack','Rope','Spider','Swimming eel','Simple','Crayman','Constantine','Overlord'
'short name','Apparition','Arach','Biped','Bugbeast','Burrick','Droid','Flexbow','Playarm','Rope','Spidey','Sweel','Simple','Crayman','Constantine','Overlord'
'#Aistructure',,,,,,,,,,,,,,,
'joints',20,40,20,22,21,18,8,5,9,39,7,1,22,23,37
'torsos',2,4,2,2,3,2,4,1,1,4,1,1,4,2,3
'limbs',3,10,5,5,5,5,2,1,1,10,2,0,6,5,6
'mjofile','appa','ARACH','BIPEDNW','bugbeast','burrick','droid','flexbow','playarm','rope','SPIDEY','SWEEL','simple','CRAYMAN','constant','OVERLORD'
'#TorsoType',,,,,,,,,,,,,,,
1,'root','flat','root','root','root','root','flat','flat','flat','flat','root','root','root','root','flat'
2,'abdomen','flat','abdomen','abdomen','abdomen','abdomen','arm',,,'flat',,,'abdomen','abdomen','flat'
3,,'flat',,,,,'arm',,,'flat',,,'arm',,'flat'
4,,'flat',,,,,'arm',,,'flat',,,'arm',,
'#LimbType',,,,,,,,,,,,,,,
1,'hand','generic','leg','leg','leg','leg','generic','hand','generic','generic','generic','generic','leg','dogleg','generic'
2,'hand','generic','leg','leg','leg','leg','generic',,,'generic','generic',,'leg','dogleg','generic'
3,'head','spiderleg','hand','armwithclaw','hand','droidarm',,,,'spiderleg',,,'hand','hand','generic'
4,,'spiderleg','hand','armwithclaw','hand','droidarm',,,,'spiderleg',,,'head','hand','generic'
5,,'spiderleg','head','head','head','head',,,,'spiderleg',,,'generic','head','generic'
6,,'spiderleg',,,,,,,,'spiderleg',,,'generic',,'generic'
7,,'spiderleg',,,,,,,,'spiderleg',,,,,
8,,'spiderleg',,,,,,,,'spiderleg',,,,,
9,,'spiderleg',,,,,,,,'spiderleg',,,,,
10,,'spiderleg',,,,,,,,'spiderleg',,,,,
'#JointMaps',,,,,,,,,,,,,,,
1,'toe','base','ltoe','ltoe','ltoe','ltoe','butt','butt','r1','base','base','base','ltoe','ltoe','base'
2,'---','lmand','rtoe','rtoe','rtoe','rtoe','lshldr','rshldr','r2','lmand','back',,'rtoe','rtoe','L1BASE'
3,'---','lmelbow','lankle','lankle','lankle','lankle','lelbow','relbow','r3','lmelbow','shoulder',,'lankle','lankle','L11J'
4,'---','rmand','rankle','rankle','rankle','rankle','lwrist','rwrist','r4','rmand','neck',,'rankle','rankle','L12J'
5,'---','rmelbow','lknee','lknee','lknee','lknee','tmid','rfinger','r5','rmelbow','head',,'lknee','lknee','L13J'
6,'---','r1shldr','rknee','rknee','rknee','rknee','top',,'r6','r1shldr','tail',,'rknee','rknee','L4BASE'
7,'---','r1elbow','lhip','lhip','lhip','lhip','bmid',,'r7','r1elbow','tip',,'lhip','lhip','L41J'
8,'---','r1wrist','rhip','rhip','rhip','rhip','bot',,'r8','r1wrist',,,'rhip','rhip','L42J'
9,'butt','r2shldr','butt','butt','butt','butt',,,'r9','r2shldr',,,'butt','butt','L43J'
10,'neck','r2elbow','neck','neck','neck','abdomen',,,,'r2elbow',,,'neck','neck','L44J'
11,'lshldr','r2wrist','lshldr','lshldr','lshldr','neck',,,,'r2wrist',,,'lshldr','lshldr','L45J'
12,'rshldr','r3shldr','rshldr','rshldr','rshldr','lshldr',,,,'r3shldr',,,'rshldr','rshldr','L2BASE'
13,'lelbow','r3elbow','lelbow','lelbow','lelbow','rshldr',,,,'r3elbow',,,'lelbow','lelbow','L21J'
14,'relbow','r3wrist','relbow','relbow','relbow','lelbow',,,,'r3wrist',,,'relbow','relbow','L22J'
15,'lwrist','r4shldr','lwrist','lwrist','lwrist','relbow',,,,'r4shldr',,,'tpincher','lwrist','L23J'
16,'rwrist','r4elbow','rwrist','rwrist','rwrist','lwrist',,,,'r4elbow',,,'rwrist','rwrist','L24J'
17,'lfinger','r4wrist','lfinger','lfinger','lfinger','rwrist',,,,'r4wrist',,,'ttip','lfinger','L25J'
18,'rfinger','l1shldr','rfinger','rfinger','rfinger','head',,,,'l1shldr',,,'rfinger','rfinger','L5BASE'
19,'abdomen','l1elbow','abdomen','abdomen','abdomen',,,,,'l1elbow',,,'abdomen','abdomen','L51J'
20,'head','l1wrist','head','head','head',,,,,'l1wrist',,,'head','head','L52J'
21,,'l2shldr',,'lclaw','tail',,,,,'l2shldr',,,'bpincher','ldogleg','L53J'
22,,'l2elbow',,'rclaw',,,,,,'l2elbow',,,'btip','rdogleg','L54J'
23,,'l2wrist',,,,,,,,'l2wrist',,,,'tail','L55J'
24,,'l3shldr',,,,,,,,'l3shldr',,,,,'L3BASE'
25,,'l3elbow',,,,,,,,'l3elbow',,,,,'L31J'
26,,'l3wrist',,,,,,,,'l3wrist',,,,,'L32J'
27,,'l4shldr',,,,,,,,'l4shldr',,,,,'L33J'
28,,'l4elbow',,,,,,,,'l4elbow',,,,,'L34J'
29,,'l4wrist',,,,,,,,'l4wrist',,,,,'L35J'
30,,'r1finger',,,,,,,,'r1finger',,,,,'L6BASE'
31,,'r2finger',,,,,,,,'r2finger',,,,,'L61J'
32,,'r3finger',,,,,,,,'r3finger',,,,,'L62J'
33,,'r4finger',,,,,,,,'r4finger',,,,,'L63J'
34,,'l1finger',,,,,,,,'l1finger',,,,,'L64J'
35,,'l2finger',,,,,,,,'l2finger',,,,,'L65J'
36,,'l3finger',,,,,,,,'l3finger',,,,,'L7FIXED'
37,,'l4finger',,,,,,,,'l4finger',,,,,'L8FIXED'
38,,'ltip',,,,,,,,'ltip',,,,,
39,,'rtip',,,,,,,,'rtip',,,,,
40,,'sac',,,,,,,,,,,,,
'#trackOrder',,,,,,,,,,,,,,,
1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1
2,3,4,2,2,2,2,3,3,2,4,2,,2,2,6
3,8,6,3,3,3,3,2,2,3,6,3,,3,5,5
4,9,3,4,4,4,4,1,1,4,3,4,,4,3,4
5,6,5,5,5,5,5,,,5,5,5,,5,4,3
6,7,9,6,6,6,6,,,6,9,6,,6,6,12
7,4,12,7,7,7,7,,,7,12,7,,7,7,18
8,5,15,9,9,9,8,,,8,15,,,9,8,24
9,10,18,14,16,14,9,,,9,18,,,14,9,30
10,2,21,15,17,15,19,,,,21,,,17,11,36
11,,24,12,14,12,12,,,,24,,,15,16,11
12,,27,13,15,13,17,,,,27,,,12,17,17
13,,30,10,12,10,18,,,,30,,,13,14,23
14,,8,11,13,11,15,,,,8,,,10,15,29
15,,11,16,10,16,16,,,,11,,,11,12,35
16,,14,8,11,8,13,,,,14,,,16,13,10
17,,17,,18,,14,,,,17,,,8,18,16
18,,20,,8,,11,,,,20,,,,10,22
19,,23,,,,10,,,,23,,,,,28
20,,26,,,,,,,,26,,,,,34
21,,29,,,,,,,,29,,,,,9
22,,7,,,,,,,,7,,,,,15
23,,10,,,,,,,,10,,,,,21
24,,13,,,,,,,,13,,,,,27
25,,16,,,,,,,,16,,,,,33
26,,19,,,,,,,,19,,,,,8
27,,22,,,,,,,,22,,,,,14
28,,25,,,,,,,,25,,,,,20
29,,28,,,,,,,,28,,,,,26
30,,30,,,,,,,,2,,,,,32
31,,2,,,,,,,,,,,,,7
32,,,,,,,,,,,,,,,13
33,,,,,,,,,,,,,,,19
34,,,,,,,,,,,,,,,25
35,,,,,,,,,,,,,,,31
36,,,,,,,,,,,,,,,2
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
'#motionTracks',,,,,,,,,,,,,,,
'number',10,31,16,18,16,19,4,4,0,30,8,1,17,18,36
'#motionTracksMap',,,,,,,,,,,,,,,
1,9,1,9,9,9,9,1,1,,1,1,1,9,9,1
2,9,1,3,3,3,1,2,2,,1,1,,3,3,1
3,10,2,4,4,4,2,3,3,,2,2,,4,21,2
4,11,3,5,5,5,3,4,4,,3,3,,5,22,3
5,12,4,6,6,6,4,,,,4,4,,6,4,4
6,13,5,7,7,7,5,,,,5,5,,7,5,5
7,14,6,8,8,8,6,,,,6,6,,8,6,6
8,15,7,9,9,9,7,,,,7,7,,9,7,7
9,16,8,10,10,10,8,,,,8,,,10,8,8
10,19,9,11,11,11,9,,,,9,,,11,9,9
11,,10,12,12,12,10,,,,10,,,12,10,10
12,,11,13,13,13,11,,,,11,,,13,11,11
13,,12,14,14,14,12,,,,12,,,14,12,12
14,,13,15,15,15,13,,,,13,,,15,13,13
15,,14,16,16,16,14,,,,14,,,16,14,14
16,,15,19,17,19,15,,,,15,,,19,15,15
17,,16,,18,,16,,,,16,,,21,16,16
18,,17,,19,,17,,,,17,,,,19,17
19,,18,,,,18,,,,18,,,,,18
20,,19,,,,,,,,19,,,,,19
21,,20,,,,,,,,20,,,,,20
22,,21,,,,,,,,21,,,,,21
23,,22,,,,,,,,22,,,,,22
24,,23,,,,,,,,23,,,,,23
25,,24,,,,,,,,24,,,,,24
26,,25,,,,,,,,25,,,,,25
27,,26,,,,,,,,26,,,,,26
28,,27,,,,,,,,27,,,,,27
29,,28,,,,,,,,28,,,,,28
30,,29,,,,,,,,29,,,,,29
31,,40,,,,,,,,,,,,,30
32,,,,,,,,,,,,,,,31
33,,,,,,,,,,,,,,,32
34,,,,,,,,,,,,,,,33
35,,,,,,,,,,,,,,,34
36,,,,,,,,,,,,,,,35
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
'#swapSides',,,,,,,,,,,,,,,
'multiplier',1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1
